"Code";"Name";"registrations of departure, total;total;2021;[person]";"registrations of departure, total;total;2022;[person]";"registrations of departure, total;total;2023;[person]";
0000000;"POLAND";441724;422691;416040;
0200000;"DOLNOŚLĄSKIE";36228;33851;34102;
0201000;"Powiat bolesławiecki";1339;1248;1117;
0201011;"Bolesławiec (1)";561;471;466;
0201022;"Bolesławiec (2)";209;197;196;
0201032;"Gromadka (2)";82;93;67;
0201043;"Nowogrodziec (3)";216;218;186;
0201044;"Nowogrodziec - urban area (4)";80;60;78;
0201045;"Nowogrodziec - rural area (5)";136;158;108;
0201052;"Osiecznica (2)";143;116;96;
0201062;"Warta Bolesławiecka (2)";128;153;106;
0202000;"Powiat dzierżoniowski";1065;1021;1004;
0202011;"Bielawa (1)";234;231;231;
0202021;"Dzierżoniów (1)";366;349;324;
0202033;"Pieszyce (3)";107;85;94;
0202034;"Pieszyce - urban area (4)";76;61;71;
0202035;"Pieszyce - rural area (5)";31;24;23;
0202041;"Piława Górna (1)";78;79;47;
0202052;"Dzierżoniów (2)";145;135;130;
0202062;"Łagiewniki (2)";74;80;78;
0202073;"Niemcza (3)";61;62;100;
0202074;"Niemcza - urban area (4)";38;27;41;
0202075;"Niemcza - rural area (5)";23;35;59;
0203000;"Powiat głogowski";1298;1392;1365;
0203011;"Głogów (1)";934;1016;1019;
0203022;"Głogów (2)";131;147;118;
0203032;"Jerzmanowa (2)";57;64;69;
0203042;"Kotla (2)";84;70;61;
0203052;"Pęcław (2)";41;32;36;
0203062;"Żukowice (2)";51;63;62;
0204000;"Powiat górowski";595;497;450;
0204013;"Góra (3)";356;288;231;
0204014;"Góra - urban area (4)";203;203;149;
0204015;"Góra - rural area (5)";153;85;82;
0204022;"Jemielno (2)";54;40;43;
0204032;"Niechlów (2)";62;74;72;
0204043;"Wąsosz (3)";123;95;104;
0204044;"Wąsosz - urban area (4)";43;41;44;
0204045;"Wąsosz - rural area (5)";80;54;60;
0205000;"Powiat jaworski";693;648;591;
0205011;"Jawor (1)";294;341;283;
0205023;"Bolków (3)";145;108;119;
0205024;"Bolków - urban area (4)";66;45;49;
0205025;"Bolków - rural area (5)";79;63;70;
0205032;"Męcinka (2)";65;49;58;
0205042;"Mściwojów (2)";76;69;47;
0205052;"Paszowice (2)";62;39;42;
0205062;"Wądroże Wielkie (2)";51;42;42;
0206000;"Powiat karkonoski";800;812;793;
0206011;"Karpacz (1)";67;64;90;
0206021;"Kowary (1)";106;162;107;
0206031;"Piechowice (1)";84;67;71;
0206041;"Szklarska Poręba (1)";105;71;89;
0206052;"Janowice Wielkie (2)";57;43;62;
0206062;"Jeżów Sudecki (2)";94;96;73;
0206072;"Mysłakowice (2)";128;148;116;
0206082;"Podgórzyn (2)";101;107;110;
0206092;"Stara Kamienica (2)";58;54;75;
0207000;"Powiat kamiennogórski";515;470;465;
0207011;"Kamienna Góra (1)";215;218;201;
0207022;"Kamienna Góra (2)";118;95;67;
0207033;"Lubawka (3)";145;111;143;
0207034;"Lubawka - urban area (4)";75;49;83;
0207035;"Lubawka - rural area (5)";70;62;60;
0207042;"Marciszów (2)";37;46;54;
0208000;"Powiat kłodzki";1765;1721;1795;
0208011;"Duszniki-Zdrój (1)";34;53;61;
0208021;"Kłodzko (1)";280;250;282;
0208031;"Kudowa-Zdrój (1)";90;81;72;
0208041;"Nowa Ruda (1)";237;222;203;
0208051;"Polanica-Zdrój (1)";82;69;87;
0208063;"Bystrzyca Kłodzka (3)";237;253;292;
0208064;"Bystrzyca Kłodzka - urban area (4)";114;143;163;
0208065;"Bystrzyca Kłodzka - rural area (5)";123;110;129;
0208072;"Kłodzko (2)";198;233;187;
0208083;"Lądek-Zdrój (3)";97;97;106;
0208084;"Lądek-Zdrój - urban area (4)";72;66;66;
0208085;"Lądek-Zdrój - rural area (5)";25;31;40;
0208092;"Lewin Kłodzki (2)";30;25;12;
0208103;"Międzylesie (3)";102;70;86;
0208104;"Międzylesie - urban area (4)";44;26;30;
0208105;"Międzylesie - rural area (5)";58;44;56;
0208112;"Nowa Ruda (2)";141;135;141;
0208123;"Radków (3)";67;75;109;
0208124;"Radków - urban area (4)";14;25;40;
0208125;"Radków - rural area (5)";53;50;69;
0208133;"Stronie Śląskie (3)";96;83;63;
0208134;"Stronie Śląskie - urban area (4)";78;61;51;
0208135;"Stronie Śląskie - rural area (5)";18;22;12;
0208143;"Szczytna (3)";74;75;94;
0208144;"Szczytna - urban area (4)";55;52;61;
0208145;"Szczytna - rural area (5)";19;23;33;
0209000;"Powiat legnicki";837;750;644;
0209011;"Chojnów (1)";255;206;168;
0209022;"Chojnów (2)";139;129;121;
0209032;"Krotoszyce (2)";56;39;48;
0209042;"Kunice (2)";108;91;74;
0209052;"Legnickie Pole (2)";57;60;55;
0209062;"Miłkowice (2)";104;108;68;
0209073;"Prochowice (3)";96;93;84;
0209074;"Prochowice - urban area (4)";47;37;45;
0209075;"Prochowice - rural area (5)";49;56;39;
0209082;"Ruja (2)";22;24;26;
0210000;"Powiat lubański";805;675;627;
0210011;"Lubań (1)";249;247;240;
0210021;"Świeradów-Zdrój (1)";75;58;37;
0210033;"Leśna (3)";180;129;113;
0210034;"Leśna - urban area (4)";77;62;47;
0210035;"Leśna - rural area (5)";103;67;66;
0210042;"Lubań (2)";98;92;76;
0210053;"Olszyna (3)";107;68;81;
0210054;"Olszyna - urban area (4)";52;44;45;
0210055;"Olszyna - rural area (5)";55;24;36;
0210062;"Platerówka (2)";29;29;12;
0210072;"Siekierczyn (2)";67;52;68;
0211000;"Powiat lubiński";1641;1420;1544;
0211011;"Lubin (1)";1154;1013;1102;
0211022;"Lubin (2)";244;226;233;
0211032;"Rudna (2)";98;62;75;
0211043;"Ścinawa (3)";145;119;134;
0211044;"Ścinawa - urban area (4)";85;70;70;
0211045;"Ścinawa - rural area (5)";60;49;64;
0212000;"Powiat lwówecki";628;566;518;
0212013;"Gryfów Śląski (3)";98;120;140;
0212014;"Gryfów Śląski - urban area (4)";69;82;96;
0212015;"Gryfów Śląski - rural area (5)";29;38;44;
0212023;"Lubomierz (3)";101;80;50;
0212024;"Lubomierz - urban area (4)";24;27;10;
0212025;"Lubomierz - rural area (5)";77;53;40;
0212033;"Lwówek Śląski (3)";249;207;177;
0212034;"Lwówek Śląski - urban area (4)";123;112;96;
0212035;"Lwówek Śląski - rural area (5)";126;95;81;
0212043;"Mirsk (3)";118;104;99;
0212044;"Mirsk - urban area (4)";53;46;49;
0212045;"Mirsk - rural area (5)";65;58;50;
0212053;"Wleń (3)";62;55;52;
0212054;"Wleń - urban area (4)";21;21;27;
0212055;"Wleń - rural area (5)";41;34;25;
0213000;"Powiat milicki";396;411;431;
