"Code";"Name";"total;place of residence;as of 30 June;total;2024;[person]";"in urban areas;place of residence;as of 30 June;total;2024;[person]";"in rural areas;place of residence;as of 30 June;total;2024;[person]";
0201000;"Powiat bolesławiecki";87473;40941;46532;
0201000;"Powiat bolesławiecki - URBAN GMINAS";36864;36864;0;
0201000;"Powiat bolesławiecki - URBAN-RURAL GMINAS";14591;4077;10514;
0201011;"Bolesławiec (1)";36864;36864;0;
0201022;"Bolesławiec (2)";15338;0;15338;
0201032;"Gromadka (2)";4997;0;4997;
0201043;"Nowogrodziec (3)";14591;4077;10514;
0201044;"Nowogrodziec - urban area (4)";4077;4077;0;
0201045;"Nowogrodziec - rural area (5)";10514;0;10514;
0201052;"Osiecznica (2)";7267;0;7267;
0201062;"Warta Bolesławiecka (2)";8416;0;8416;
0202000;"Powiat dzierżoniowski";94304;73607;20697;
0202000;"Powiat dzierżoniowski - URBAN GMINAS";64181;64181;0;
0202000;"Powiat dzierżoniowski - URBAN-RURAL GMINAS";13899;9426;4473;
0202011;"Bielawa (1)";27874;27874;0;
0202021;"Dzierżoniów (1)";30443;30443;0;
0202033;"Pieszyce (3)";8888;6753;2135;
0202034;"Pieszyce - urban area (4)";6753;6753;0;
0202035;"Pieszyce - rural area (5)";2135;0;2135;
0202041;"Piława Górna (1)";5864;5864;0;
0202052;"Dzierżoniów (2)";9155;0;9155;
0202062;"Łagiewniki (2)";7069;0;7069;
0202073;"Niemcza (3)";5011;2673;2338;
0202074;"Niemcza - urban area (4)";2673;2673;0;
0202075;"Niemcza - rural area (5)";2338;0;2338;
0203000;"Powiat głogowski";84755;61675;23080;
0203000;"Powiat głogowski - URBAN GMINAS";61675;61675;0;
0203011;"Głogów (1)";61675;61675;0;
0203022;"Głogów (2)";7228;0;7228;
0203032;"Jerzmanowa (2)";5920;0;5920;
0203042;"Kotla (2)";4420;0;4420;
0203052;"Pęcław (2)";2111;0;2111;
0203062;"Żukowice (2)";3401;0;3401;
0204000;"Powiat górowski";32250;13197;19053;
0204000;"Powiat górowski - URBAN-RURAL GMINAS";25085;13197;11888;
0204013;"Góra (3)";18382;10669;7713;
0204014;"Góra - urban area (4)";10669;10669;0;
0204015;"Góra - rural area (5)";7713;0;7713;
0204022;"Jemielno (2)";2680;0;2680;
0204032;"Niechlów (2)";4485;0;4485;
0204043;"Wąsosz (3)";6703;2528;4175;
0204044;"Wąsosz - urban area (4)";2528;2528;0;
0204045;"Wąsosz - rural area (5)";4175;0;4175;
0205000;"Powiat jaworski";47039;25021;22018;
0205000;"Powiat jaworski - URBAN GMINAS";20390;20390;0;
0205000;"Powiat jaworski - URBAN-RURAL GMINAS";9550;4631;4919;
0205011;"Jawor (1)";20390;20390;0;
0205023;"Bolków (3)";9550;4631;4919;
0205024;"Bolków - urban area (4)";4631;4631;0;
0205025;"Bolków - rural area (5)";4919;0;4919;
0205032;"Męcinka (2)";5232;0;5232;
0205042;"Mściwojów (2)";3963;0;3963;
0205052;"Paszowice (2)";4207;0;4207;
0205062;"Wądroże Wielkie (2)";3697;0;3697;
0206000;"Powiat karkonoski";60232;25232;35000;
0206000;"Powiat karkonoski - URBAN GMINAS";25232;25232;0;
0206011;"Karpacz (1)";4175;4175;0;
0206021;"Kowary (1)";9616;9616;0;
0206031;"Piechowice (1)";5725;5725;0;
0206041;"Szklarska Poręba (1)";5716;5716;0;
0206052;"Janowice Wielkie (2)";4057;0;4057;
0206062;"Jeżów Sudecki (2)";7943;0;7943;
0206072;"Mysłakowice (2)";9600;0;9600;
0206082;"Podgórzyn (2)";8137;0;8137;
0206092;"Stara Kamienica (2)";5263;0;5263;
0207000;"Powiat kamiennogórski";40040;22442;17598;
0207000;"Powiat kamiennogórski - URBAN GMINAS";16942;16942;0;
0207000;"Powiat kamiennogórski - URBAN-RURAL GMINAS";10072;5500;4572;
0207011;"Kamienna Góra (1)";16942;16942;0;
0207022;"Kamienna Góra (2)";8810;0;8810;
0207033;"Lubawka (3)";10072;5500;4572;
0207034;"Lubawka - urban area (4)";5500;5500;0;
0207035;"Lubawka - rural area (5)";4572;0;4572;
0207042;"Marciszów (2)";4216;0;4216;
0208000;"Powiat kłodzki";146041;92022;54019;
0208000;"Powiat kłodzki - URBAN GMINAS";63917;63917;0;
0208000;"Powiat kłodzki - URBAN-RURAL GMINAS";53210;28105;25105;
0208011;"Duszniki-Zdrój (1)";3946;3946;0;
0208021;"Kłodzko (1)";24672;24672;0;
0208031;"Kudowa-Zdrój (1)";9198;9198;0;
0208041;"Nowa Ruda (1)";20217;20217;0;
0208051;"Polanica-Zdrój (1)";5884;5884;0;
0208063;"Bystrzyca Kłodzka (3)";17116;8858;8258;
0208064;"Bystrzyca Kłodzka - urban area (4)";8858;8858;0;
0208065;"Bystrzyca Kłodzka - rural area (5)";8258;0;8258;
0208072;"Kłodzko (2)";16429;0;16429;
0208083;"Lądek-Zdrój (3)";7434;4914;2520;
0208084;"Lądek-Zdrój - urban area (4)";4914;4914;0;
0208085;"Lądek-Zdrój - rural area (5)";2520;0;2520;
0208092;"Lewin Kłodzki (2)";1962;0;1962;
0208103;"Międzylesie (3)";6740;2374;4366;
0208104;"Międzylesie - urban area (4)";2374;2374;0;
0208105;"Międzylesie - rural area (5)";4366;0;4366;
0208112;"Nowa Ruda (2)";10523;0;10523;
0208123;"Radków (3)";8360;2237;6123;
0208124;"Radków - urban area (4)";2237;2237;0;
0208125;"Radków - rural area (5)";6123;0;6123;
0208133;"Stronie Śląskie (3)";6721;4956;1765;
0208134;"Stronie Śląskie - urban area (4)";4956;4956;0;
0208135;"Stronie Śląskie - rural area (5)";1765;0;1765;
0208143;"Szczytna (3)";6839;4766;2073;
0208144;"Szczytna - urban area (4)";4766;4766;0;
0208145;"Szczytna - rural area (5)";2073;0;2073;
0209000;"Powiat legnicki";55068;15779;39289;
0209000;"Powiat legnicki - URBAN GMINAS";12289;12289;0;
0209000;"Powiat legnicki - URBAN-RURAL GMINAS";7100;3490;3610;
0209011;"Chojnów (1)";12289;12289;0;
0209022;"Chojnów (2)";9456;0;9456;
0209032;"Krotoszyce (2)";3340;0;3340;
0209042;"Kunice (2)";7797;0;7797;
0209052;"Legnickie Pole (2)";5345;0;5345;
0209062;"Miłkowice (2)";7340;0;7340;
0209073;"Prochowice (3)";7100;3490;3610;
0209074;"Prochowice - urban area (4)";3490;3490;0;
0209075;"Prochowice - rural area (5)";3610;0;3610;
0209082;"Ruja (2)";2401;0;2401;
0210000;"Powiat lubański";51171;31588;19583;
0210000;"Powiat lubański - URBAN GMINAS";23343;23343;0;
0210000;"Powiat lubański - URBAN-RURAL GMINAS";15471;8245;7226;
0210011;"Lubań (1)";19407;19407;0;
0210021;"Świeradów-Zdrój (1)";3936;3936;0;
0210033;"Leśna (3)";9214;3965;5249;
0210034;"Leśna - urban area (4)";3965;3965;0;
0210035;"Leśna - rural area (5)";5249;0;5249;
0210042;"Lubań (2)";6462;0;6462;
0210053;"Olszyna (3)";6257;4280;1977;
0210054;"Olszyna - urban area (4)";4280;4280;0;
0210055;"Olszyna - rural area (5)";1977;0;1977;
0210062;"Platerówka (2)";1507;0;1507;
0210072;"Siekierczyn (2)";4388;0;4388;
0211000;"Powiat lubiński";102578;72400;30178;
0211000;"Powiat lubiński - URBAN GMINAS";67155;67155;0;
0211000;"Powiat lubiński - URBAN-RURAL GMINAS";9345;5245;4100;
0211011;"Lubin (1)";67155;67155;0;
0211022;"Lubin (2)";18674;0;18674;
0211032;"Rudna (2)";7404;0;7404;
0211043;"Ścinawa (3)";9345;5245;4100;
0211044;"Ścinawa - urban area (4)";5245;5245;0;
0211045;"Ścinawa - rural area (5)";4100;0;4100;
0212000;"Powiat lwówecki";42622;21085;21537;
0212000;"Powiat lwówecki - URBAN-RURAL GMINAS";42622;21085;21537;
0212013;"Gryfów Śląski (3)";9034;6066;2968;
0212014;"Gryfów Śląski - urban area (4)";6066;6066;0;
0212015;"Gryfów Śląski - rural area (5)";2968;0;2968;
0212023;"Lubomierz (3)";5609;1780;3829;
0212024;"Lubomierz - urban area (4)";1780;1780;0;
0212025;"Lubomierz - rural area (5)";3829;0;3829;
0212033;"Lwówek Śląski (3)";15968;8072;7896;
0212034;"Lwówek Śląski - urban area (4)";8072;8072;0;
0212035;"Lwówek Śląski - rural area (5)";7896;0;7896;
0212043;"Mirsk (3)";8113;3593;4520;
0212044;"Mirsk - urban area (4)";3593;3593;0;
0212045;"Mirsk - rural area (5)";4520;0;4520;
0212053;"Wleń (3)";3898;1574;2324;
0212054;"Wleń - urban area (4)";1574;1574;0;
0212055;"Wleń - rural area (5)";2324;0;2324;
0213000;"Powiat milicki";35454;10669;24785;
0213000;"Powiat milicki - URBAN-RURAL GMINAS";22934;10669;12265;
0213012;"Cieszków (2)";4557;0;4557;
0213022;"Krośnice (2)";7963;0;7963;
0213033;"Milicz (3)";22934;10669;12265;
0213034;"Milicz - urban area (4)";10669;10669;0;
0213035;"Milicz - rural area (5)";12265;0;12265;
0214000;"Powiat oleśnicki";106563;57783;48780;
0214000;"Powiat oleśnicki - URBAN GMINAS";35002;35002;0;
0214000;"Powiat oleśnicki - URBAN-RURAL GMINAS";43200;22781;20419;
0214011;"Oleśnica (1)";35002;35002;0;
0214023;"Bierutów (3)";9226;4431;4795;
0214024;"Bierutów - urban area (4)";4431;4431;0;
0214025;"Bierutów - rural area (5)";4795;0;4795;
0214032;"Dobroszyce (2)";7336;0;7336;
0214042;"Dziadowa Kłoda (2)";4558;0;4558;
0214053;"Międzybórz (3)";4996;2299;2697;
0214054;"Międzybórz - urban area (4)";2299;2299;0;
0214055;"Międzybórz - rural area (5)";2697;0;2697;
0214062;"Oleśnica (2)";16467;0;16467;
0214073;"Syców (3)";16487;9922;6565;
0214074;"Syców - urban area (4)";9922;9922;0;
0214075;"Syców - rural area (5)";6565;0;6565;
0214083;"Twardogóra (3)";12491;6129;6362;
0214084;"Twardogóra - urban area (4)";6129;6129;0;
0214085;"Twardogóra - rural area (5)";6362;0;6362;
0215000;"Powiat oławski";77429;48049;29380;
0215000;"Powiat oławski - URBAN GMINAS";33100;33100;0;
0215000;"Powiat oławski - URBAN-RURAL GMINAS";23752;14949;8803;
0215011;"Oława (1)";33100;33100;0;
0215022;"Domaniów (2)";4893;0;4893;
0215033;"Jelcz-Laskowice (3)";23752;14949;8803;
0215034;"Jelcz-Laskowice - urban area (4)";14949;14949;0;
0215035;"Jelcz-Laskowice - rural area (5)";8803;0;8803;
0215042;"Oława (2)";15684;0;15684;
0216000;"Powiat polkowicki";61055;34092;26963;
0216000;"Powiat polkowicki - URBAN-RURAL GMINAS";46908;34092;12816;
0216013;"Chocianów (3)";12351;7316;5035;
0216014;"Chocianów - urban area (4)";7316;7316;0;
0216015;"Chocianów - rural area (5)";5035;0;5035;
0216022;"Gaworzyce (2)";3741;0;3741;
0216032;"Grębocice (2)";5305;0;5305;
0216043;"Polkowice (3)";26786;21227;5559;
0216044;"Polkowice - urban area (4)";21227;21227;0;
0216045;"Polkowice - rural area (5)";5559;0;5559;
0216053;"Przemków (3)";7771;5549;2222;
0216054;"Przemków - urban area (4)";5549;5549;0;
0216055;"Przemków - rural area (5)";2222;0;2222;
0216062;"Radwanice (2)";5101;0;5101;
0217000;"Powiat strzeliński";41582;14152;27430;
0217000;"Powiat strzeliński - URBAN-RURAL GMINAS";28189;14152;14037;
0217012;"Borów (2)";4975;0;4975;
0217022;"Kondratowice (2)";3951;0;3951;
0217032;"Przeworno (2)";4467;0;4467;
0217043;"Strzelin (3)";21411;11917;9494;
0217044;"Strzelin - urban area (4)";11917;11917;0;
0217045;"Strzelin - rural area (5)";9494;0;9494;
0217053;"Wiązów (3)";6778;2235;4543;
0217054;"Wiązów - urban area (4)";2235;2235;0;
0217055;"Wiązów - rural area (5)";4543;0;4543;
0218000;"Powiat średzki";59482;11630;47852;
0218000;"Powiat średzki - URBAN-RURAL GMINAS";41867;11630;30237;
0218012;"Kostomłoty (2)";7170;0;7170;
0218022;"Malczyce (2)";5662;0;5662;
0218033;"Miękinia (3)";22082;2104;19978;
0218034;"Miękinia - urban area (4)";2104;2104;0;
0218035;"Miękinia - rural area (5)";19978;0;19978;
0218043;"Środa Śląska (3)";19785;9526;10259;
0218044;"Środa Śląska - urban area (4)";9526;9526;0;
0218045;"Środa Śląska - rural area (5)";10259;0;10259;
0218052;"Udanin (2)";4783;0;4783;
0219000;"Powiat świdnicki";149857;100453;49404;
0219000;"Powiat świdnicki - URBAN GMINAS";74177;74177;0;
0219000;"Powiat świdnicki - URBAN-RURAL GMINAS";46362;26276;20086;
0219011;"Świdnica (1)";52417;52417;0;
0219021;"Świebodzice (1)";21760;21760;0;
0219032;"Dobromierz (2)";4887;0;4887;
0219043;"Jaworzyna Śląska (3)";10229;5020;5209;
0219044;"Jaworzyna Śląska - urban area (4)";5020;5020;0;
0219045;"Jaworzyna Śląska - rural area (5)";5209;0;5209;
0219052;"Marcinowice (2)";6365;0;6365;
0219063;"Strzegom (3)";24065;14867;9198;
0219064;"Strzegom - urban area (4)";14867;14867;0;
0219065;"Strzegom - rural area (5)";9198;0;9198;
0219072;"Świdnica (2)";18066;0;18066;
0219083;"Żarów (3)";12068;6389;5679;
0219084;"Żarów - urban area (4)";6389;6389;0;
0219085;"Żarów - rural area (5)";5679;0;5679;
0220000;"Powiat trzebnicki";87738;30828;56910;
0220000;"Powiat trzebnicki - URBAN-RURAL GMINAS";69628;30828;38800;
0220013;"Oborniki Śląskie (3)";21145;8950;12195;
0220014;"Oborniki Śląskie - urban area (4)";8950;8950;0;
0220015;"Oborniki Śląskie - rural area (5)";12195;0;12195;
0220023;"Prusice (3)";9287;2125;7162;
0220024;"Prusice - urban area (4)";2125;2125;0;
0220025;"Prusice - rural area (5)";7162;0;7162;
0220033;"Trzebnica (3)";25068;13583;11485;
0220034;"Trzebnica - urban area (4)";13583;13583;0;
0220035;"Trzebnica - rural area (5)";11485;0;11485;
0220042;"Wisznia Mała (2)";12218;0;12218;
0220052;"Zawonia (2)";5892;0;5892;
0220063;"Żmigród (3)";14128;6170;7958;
0220064;"Żmigród - urban area (4)";6170;6170;0;
0220065;"Żmigród - rural area (5)";7958;0;7958;
0221000;"Powiat wałbrzyski";52524;33577;18947;
0221000;"Powiat wałbrzyski - URBAN GMINAS";23987;23987;0;
0221000;"Powiat wałbrzyski - URBAN-RURAL GMINAS";14175;9590;4585;
0221011;"Boguszów-Gorce (1)";14129;14129;0;
0221021;"Jedlina-Zdrój (1)";4617;4617;0;
0221031;"Szczawno-Zdrój (1)";5241;5241;0;
0221042;"Czarny Bór (2)";4740;0;4740;
0221053;"Głuszyca (3)";8011;5882;2129;
0221054;"Głuszyca - urban area (4)";5882;5882;0;
0221055;"Głuszyca - rural area (5)";2129;0;2129;
0221063;"Mieroszów (3)";6164;3708;2456;
0221064;"Mieroszów - urban area (4)";3708;3708;0;
0221065;"Mieroszów - rural area (5)";2456;0;2456;
0221072;"Stare Bogaczowice (2)";4339;0;4339;
0221082;"Walim (2)";5283;0;5283;
0222000;"Powiat wołowski";45281;24423;20858;
0222000;"Powiat wołowski - URBAN-RURAL GMINAS";37430;24423;13007;
0222013;"Brzeg Dolny (3)";16050;12476;3574;
0222014;"Brzeg Dolny - urban area (4)";12476;12476;0;
0222015;"Brzeg Dolny - rural area (5)";3574;0;3574;
0222022;"Wińsko (2)";7851;0;7851;
0222033;"Wołów (3)";21380;11947;9433;
0222034;"Wołów - urban area (4)";11947;11947;0;
0222035;"Wołów - rural area (5)";9433;0;9433;
0223000;"Powiat wrocławski";189571;25397;164174;
0223000;"Powiat wrocławski - URBAN-RURAL GMINAS";74258;25397;48861;
0223012;"Czernica (2)";24544;0;24544;
0223022;"Długołęka (2)";44486;0;44486;
0223032;"Jordanów Śląski (2)";3282;0;3282;
0223043;"Kąty Wrocławskie (3)";30478;7157;23321;
0223044;"Kąty Wrocławskie - urban area (4)";7157;7157;0;
0223045;"Kąty Wrocławskie - rural area (5)";23321;0;23321;
0223052;"Kobierzyce (2)";25285;0;25285;
0223062;"Mietków (2)";3785;0;3785;
0223073;"Sobótka (3)";13043;7033;6010;
0223074;"Sobótka - urban area (4)";7033;7033;0;
0223075;"Sobótka - rural area (5)";6010;0;6010;
0223083;"Siechnice (3)";30737;11207;19530;
0223084;"Siechnice - urban area (4)";11207;11207;0;
0223085;"Siechnice - rural area (5)";19530;0;19530;
0223092;"Żórawina (2)";13931;0;13931;
0224000;"Powiat ząbkowicki";60264;31135;29129;
0224000;"Powiat ząbkowicki - URBAN-RURAL GMINAS";52341;31135;21206;
0224013;"Bardo (3)";4910;2296;2614;
0224014;"Bardo - urban area (4)";2296;2296;0;
0224015;"Bardo - rural area (5)";2614;0;2614;
0224022;"Ciepłowody (2)";2808;0;2808;
0224033;"Kamieniec Ząbkowicki (3)";7405;4321;3084;
0224034;"Kamieniec Ząbkowicki - urban area (4)";4321;4321;0;
0224035;"Kamieniec Ząbkowicki - rural area (5)";3084;0;3084;
0224042;"Stoszowice (2)";5115;0;5115;
0224053;"Ząbkowice Śląskie (3)";20592;14178;6414;
0224054;"Ząbkowice Śląskie - urban area (4)";14178;14178;0;
0224055;"Ząbkowice Śląskie - rural area (5)";6414;0;6414;
0224063;"Ziębice (3)";15455;7942;7513;
0224064;"Ziębice - urban area (4)";7942;7942;0;
0224065;"Ziębice - rural area (5)";7513;0;7513;
0224073;"Złoty Stok (3)";3979;2398;1581;
0224074;"Złoty Stok - urban area (4)";2398;2398;0;
0224075;"Złoty Stok - rural area (5)";1581;0;1581;
0225000;"Powiat zgorzelecki";84723;56391;28332;
0225000;"Powiat zgorzelecki - URBAN GMINAS";32444;32444;0;
0225000;"Powiat zgorzelecki - URBAN-RURAL GMINAS";37528;23947;13581;
0225011;"Zawidów (1)";3738;3738;0;
0225021;"Zgorzelec (1)";28706;28706;0;
0225033;"Bogatynia (3)";21120;15875;5245;
0225034;"Bogatynia - urban area (4)";15875;15875;0;
0225035;"Bogatynia - rural area (5)";5245;0;5245;
0225043;"Pieńsk (3)";8683;5430;3253;
0225044;"Pieńsk - urban area (4)";5430;5430;0;
0225045;"Pieńsk - rural area (5)";3253;0;3253;
0225052;"Sulików (2)";5811;0;5811;
0225063;"Węgliniec (3)";7725;2642;5083;
0225064;"Węgliniec - urban area (4)";2642;2642;0;
0225065;"Węgliniec - rural area (5)";5083;0;5083;
0225072;"Zgorzelec (2)";8940;0;8940;
0226000;"Powiat złotoryjski";40435;19473;20962;
0226000;"Powiat złotoryjski - URBAN GMINAS";17494;17494;0;
0226000;"Powiat złotoryjski - URBAN-RURAL GMINAS";6971;1979;4992;
0226011;"Wojcieszów (1)";3423;3423;0;
0226021;"Złotoryja (1)";14071;14071;0;
0226032;"Pielgrzymka (2)";4193;0;4193;
0226043;"Świerzawa (3)";6971;1979;4992;
0226044;"Świerzawa - urban area (4)";1979;1979;0;
0226045;"Świerzawa - rural area (5)";4992;0;4992;
0226052;"Zagrodno (2)";4808;0;4808;
0226062;"Złotoryja (2)";6969;0;6969;
