"Code";"Name";"at post-working age;2023;[%]";
0201011;"Bolesławiec (1)";29.0;
0201022;"Bolesławiec (2)";18.9;
0201032;"Gromadka (2)";23.9;
0201043;"Nowogrodziec (3)";20.2;
0201044;"Nowogrodziec - urban area (4)";23.6;
0201045;"Nowogrodziec - rural area (5)";18.9;
0201052;"Osiecznica (2)";18.9;
0201062;"Warta Bolesławiecka (2)";21.1;
0202011;"Bielawa (1)";28.8;
0202021;"Dzierżoniów (1)";30.4;
0202033;"Pieszyce (3)";25.2;
0202034;"Pieszyce - urban area (4)";25.8;
0202035;"Pieszyce - rural area (5)";23.6;
0202041;"Piława Górna (1)";24.8;
0202052;"Dzierżoniów (2)";22.9;
0202062;"Łagiewniki (2)";23.6;
0202073;"Niemcza (3)";26.9;
0202074;"Niemcza - urban area (4)";29.6;
0202075;"Niemcza - rural area (5)";23.7;
0203011;"Głogów (1)";28.0;
0203022;"Głogów (2)";18.9;
0203032;"Jerzmanowa (2)";14.3;
0203042;"Kotla (2)";19.5;
0203052;"Pęcław (2)";21.4;
0203062;"Żukowice (2)";20.3;
0204013;"Góra (3)";24.7;
0204014;"Góra - urban area (4)";27.3;
0204015;"Góra - rural area (5)";21.2;
0204022;"Jemielno (2)";23.5;
0204032;"Niechlów (2)";22.8;
0204043;"Wąsosz (3)";23.7;
0204044;"Wąsosz - urban area (4)";24.8;
0204045;"Wąsosz - rural area (5)";23.0;
0205011;"Jawor (1)";29.4;
0205023;"Bolków (3)";25.9;
0205024;"Bolków - urban area (4)";28.3;
0205025;"Bolków - rural area (5)";23.8;
0205032;"Męcinka (2)";20.0;
0205042;"Mściwojów (2)";22.0;
0205052;"Paszowice (2)";20.3;
0205062;"Wądroże Wielkie (2)";23.8;
0206011;"Karpacz (1)";29.8;
0206021;"Kowary (1)";29.9;
0206031;"Piechowice (1)";30.2;
0206041;"Szklarska Poręba (1)";29.6;
0206052;"Janowice Wielkie (2)";24.4;
0206062;"Jeżów Sudecki (2)";20.5;
0206072;"Mysłakowice (2)";25.0;
