"Code";"Name";"against life and health;2020;[-]";"against life and health;2021;[-]";"against life and health;2022;[-]";"against life and health;2023;[-]";"against property;2020;[-]";"against property;2021;[-]";"against property;2022;[-]";"against property;2023;[-]";
0201000;"Powiat bolesławiecki";54;56;54;50;1493;1857;1761;1566;
0202000;"Powiat dzierżoniowski";37;34;38;28;725;749;852;864;
0203000;"Powiat głogowski";60;45;33;42;1243;1367;1383;1525;
0204000;"Powiat górowski";5;17;13;14;357;565;514;447;
0205000;"Powiat jaworski";25;26;17;17;619;527;511;519;
0206000;"Powiat karkonoski";23;13;23;18;1017;916;318;769;
0207000;"Powiat kamiennogórski";28;22;21;19;363;582;856;456;
0208000;"Powiat kłodzki";88;78;74;76;1366;1511;1434;1256;
0209000;"Powiat legnicki";25;24;13;16;664;646;849;579;
0210000;"Powiat lubański";15;23;21;29;585;1004;1103;905;
0211000;"Powiat lubiński";73;50;57;47;1911;1891;2058;1702;
0212000;"Powiat lwówecki";17;10;20;19;583;585;654;528;
0213000;"Powiat milicki";15;14;15;14;149;186;312;275;
0214000;"Powiat oleśnicki";23;30;25;37;656;976;1047;830;
0215000;"Powiat oławski";33;18;24;23;944;933;926;837;
0216000;"Powiat polkowicki";50;21;28;31;820;860;1414;1013;
0217000;"Powiat strzeliński";16;16;18;25;369;333;383;429;
0218000;"Powiat średzki";23;26;16;19;576;550;835;453;
0219000;"Powiat świdnicki";69;74;44;62;1696;1962;1891;1400;
0220000;"Powiat trzebnicki";38;25;32;28;468;609;580;769;
0221000;"Powiat wałbrzyski";42;30;45;20;580;413;658;462;
0222000;"Powiat wołowski";18;18;22;15;297;427;448;575;
0223000;"Powiat wrocławski";27;44;32;31;1596;1985;1930;1791;
0224000;"Powiat ząbkowicki";23;20;17;15;567;457;458;380;
0225000;"Powiat zgorzelecki";35;27;14;23;1862;1673;1789;1897;
0226000;"Powiat złotoryjski";25;19;18;17;642;591;781;576;
0261000;"City with powiat status Jelenia Góra";31;25;18;20;2071;2613;2122;1748;
0262000;"City with powiat status Legnica";42;34;49;43;3055;2817;2610;2376;
0264000;"City with powiat status Wrocław";235;264;315;275;12756;14414;16555;15016;
0265000;"City with powiat status Wałbrzych since 2013";51;74;54;54;2340;1869;1738;2428;
0401000;"Powiat aleksandrowski";22;15;13;21;566;423;402;630;
0402000;"Powiat brodnicki";29;15;23;20;483;431;451;557;
0403000;"Powiat bydgoski";25;28;29;23;701;780;758;820;
0404000;"Powiat chełmiński";8;9;8;11;256;332;523;383;
0405000;"Powiat golubsko-dobrzyński";7;5;6;5;409;392;334;385;
0406000;"Powiat grudziądzki";8;6;6;5;122;136;169;145;
0407000;"Powiat inowrocławski";38;41;26;32;1377;1774;1641;2187;
0408000;"Powiat lipnowski";30;34;19;20;468;702;394;275;
0409000;"Powiat mogileński";3;6;8;11;220;189;155;167;
0410000;"Powiat nakielski";22;15;16;14;868;718;817;1090;
0411000;"Powiat radziejowski";6;3;4;4;176;108;160;179;
0412000;"Powiat rypiński";10;17;13;13;280;226;241;261;
0413000;"Powiat sępoleński";11;15;12;4;224;241;349;246;
0414000;"Powiat świecki";35;28;25;48;593;918;760;829;
0415000;"Powiat toruński";22;19;19;24;620;586;1121;768;
0416000;"Powiat tucholski";11;12;12;6;239;327;357;267;
0417000;"Powiat wąbrzeski";7;6;3;3;148;165;152;148;
0418000;"Powiat włocławski";17;16;16;15;443;502;448;366;
0419000;"Powiat żniński";16;23;5;12;324;377;390;308;
0461000;"City with powiat status Bydgoszcz";87;117;108;91;3787;4194;4615;4423;
0462000;"City with powiat status Grudziądz";41;41;52;46;1319;1400;1435;1473;
0463000;"City with powiat status Toruń";50;48;74;68;2788;3755;3404;3270;
0464000;"City with powiat status Włocławek";35;47;43;44;1888;1689;3864;1627;
0601000;"Powiat bialski";37;28;29;34;433;455;469;406;
0602000;"Powiat biłgorajski";20;16;21;13;287;685;282;320;
0603000;"Powiat chełmski";16;25;17;15;247;251;254;266;
0604000;"Powiat hrubieszowski";29;24;30;21;203;339;275;308;
0605000;"Powiat janowski";15;15;11;11;137;120;117;126;
0606000;"Powiat krasnostawski";24;33;36;25;246;338;267;292;
0607000;"Powiat kraśnicki";29;22;20;24;387;341;428;406;
0608000;"Powiat lubartowski";31;19;31;24;281;393;492;315;
0609000;"Powiat lubelski";44;34;27;38;469;614;672;610;
0610000;"Powiat łęczyński";16;16;25;21;274;310;312;307;
0611000;"Powiat łukowski";28;21;34;41;464;403;477;531;
0612000;"Powiat opolski";26;19;19;22;264;204;325;267;
0613000;"Powiat parczewski";12;19;11;10;295;122;184;177;
0614000;"Powiat puławski";37;41;31;30;734;865;971;772;
0615000;"Powiat radzyński";9;16;27;23;159;241;310;2247;
0616000;"Powiat rycki";16;30;17;18;277;449;370;503;
0617000;"Powiat świdnicki";18;18;17;18;319;331;913;376;
0618000;"Powiat tomaszowski";22;21;25;30;315;401;332;711;
0619000;"Powiat włodawski";15;13;10;20;114;101;183;137;
0620000;"Powiat zamojski";29;40;29;36;254;441;600;299;
0661000;"City with powiat status Biała Podlaska";18;21;17;18;444;570;586;539;
0662000;"City with powiat status Chełm";42;29;31;26;465;1021;794;592;
0663000;"City with powiat status Lublin";150;150;152;160;3274;5007;4174;3677;
0664000;"City with powiat status Zamość";32;26;35;37;477;441;506;514;
0801000;"Powiat gorzowski";21;20;29;27;564;601;581;735;
0802000;"Powiat krośnieński";26;32;26;35;482;478;512;516;
0803000;"Powiat międzyrzecki";31;42;28;18;404;454;597;523;
0804000;"Powiat nowosolski";48;45;46;40;828;850;895;1013;
0805000;"Powiat słubicki";16;29;19;32;464;638;911;1715;
0806000;"Powiat strzelecko-drezdenecki";21;19;25;19;447;376;419;332;
0807000;"Powiat sulęciński";14;15;16;14;276;356;352;363;
0808000;"Powiat świebodziński";23;27;21;30;436;511;553;535;
0809000;"Powiat zielonogórski";25;35;34;35;676;608;704;628;
0810000;"Powiat żagański";23;43;24;37;1089;1123;1027;860;
0811000;"Powiat żarski";53;44;29;36;1140;1207;1214;958;
0812000;"Powiat wschowski";15;22;21;19;316;376;396;347;
0861000;"City with powiat status Gorzów Wielkopolski";64;76;123;75;1671;3293;2209;1869;
0862000;"City with powiat status Zielona Góra";96;68;66;89;2170;2916;2398;2348;
1001000;"Powiat bełchatowski";50;41;54;33;579;973;767;786;
1002000;"Powiat kutnowski";43;64;48;42;753;850;948;890;
1003000;"Powiat łaski";18;14;14;8;283;439;333;296;
1004000;"Powiat łęczycki";24;24;15;18;281;295;364;285;
