"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";
0000000;"POLAND";32883419;8050067;924976;3874564;
0200000;"DOLNOŚLĄSKIE";2534167;640879;66896;271848;
0201000;"Powiat bolesławiecki";76739;13420;2207;9772;
0201011;"Bolesławiec (1)";33216;7244;815;3356;
0201022;"Bolesławiec (2)";12746;2272;349;1533;
0201032;"Gromadka (2)";4492;542;145;795;
0201043;"Nowogrodziec (3)";12675;1483;417;1974;
0201044;"Nowogrodziec - urban area (4)";3572;499;98;483;
0201045;"Nowogrodziec - rural area (5)";9103;984;319;1491;
0201052;"Osiecznica (2)";6286;875;256;1093;
0201062;"Warta Bolesławiecka (2)";7324;1004;225;1021;
0202000;"Powiat dzierżoniowski";86543;14680;2415;11947;
0202011;"Bielawa (1)";25791;4389;671;3504;
0202021;"Dzierżoniów (1)";28427;5688;773;3506;
0202033;"Pieszyce (3)";7976;1211;253;1278;
0202034;"Pieszyce - urban area (4)";6102;944;212;967;
0202035;"Pieszyce - rural area (5)";1874;267;41;311;
0202041;"Piława Górna (1)";5390;688;169;843;
0202052;"Dzierżoniów (2)";8021;1252;217;1188;
0202062;"Łagiewniki (2)";6298;852;206;934;
0202073;"Niemcza (3)";4640;600;126;694;
0202074;"Niemcza - urban area (4)";2513;326;67;382;
0202075;"Niemcza - rural area (5)";2127;274;59;312;
0203000;"Powiat głogowski";75191;15725;2175;7877;
0203011;"Głogów (1)";56308;12078;1477;5270;
0203022;"Głogów (2)";5881;1308;181;636;
0203032;"Jerzmanowa (2)";4542;1265;156;553;
0203042;"Kotla (2)";3720;534;153;576;
0203052;"Pęcław (2)";1825;175;83;390;
0203062;"Żukowice (2)";2915;365;125;452;
0204000;"Powiat górowski";29042;3962;1091;4556;
0204013;"Góra (3)";16598;2530;625;2298;
0204014;"Góra - urban area (4)";9852;1789;341;1097;
0204015;"Góra - rural area (5)";6746;741;284;1201;
0204022;"Jemielno (2)";2436;247;100;518;
0204032;"Niechlów (2)";4050;455;164;753;
0204043;"Wąsosz (3)";5958;730;202;987;
0204044;"Wąsosz - urban area (4)";2250;342;71;281;
0204045;"Wąsosz - rural area (5)";3708;388;131;706;
0205000;"Powiat jaworski";42493;7222;1224;5524;
0205011;"Jawor (1)";19130;3843;476;2031;
0205023;"Bolków (3)";8696;1131;307;1270;
0205024;"Bolków - urban area (4)";4266;641;137;552;
0205025;"Bolków - rural area (5)";4430;490;170;718;
0205032;"Męcinka (2)";4349;724;133;605;
0205042;"Mściwojów (2)";3430;499;93;488;
0205052;"Paszowice (2)";3539;622;90;493;
0205062;"Wądroże Wielkie (2)";3349;403;125;637;
0206000;"Powiat karkonoski";54667;10784;1642;6231;
0206011;"Karpacz (1)";4035;947;119;375;
0206021;"Kowary (1)";9160;1513;227;1125;
0206031;"Piechowice (1)";5337;1121;154;555;
0206041;"Szklarska Poręba (1)";5394;1141;149;552;
0206052;"Janowice Wielkie (2)";3575;655;124;467;
0206062;"Jeżów Sudecki (2)";6641;1653;206;651;
0206072;"Mysłakowice (2)";8710;1500;274;1063;
0206082;"Podgórzyn (2)";7216;1501;215;870;
0206092;"Stara Kamienica (2)";4599;753;174;573;
