"Code";"Name";"net migration per 1000 population;total;2023;[person]";
0201000;"Powiat bolesławiecki";0.3;
0202000;"Powiat dzierżoniowski";-2.0;
0203000;"Powiat głogowski";-3.4;
0204000;"Powiat górowski";-3.9;
0205000;"Powiat jaworski";-2.2;
0206000;"Powiat karkonoski";0.1;
0207000;"Powiat kamiennogórski";-3.1;
0208000;"Powiat kłodzki";-2.4;
0209000;"Powiat legnicki";4.5;
0210000;"Powiat lubański";-1.6;
0211000;"Powiat lubiński";-0.9;
0212000;"Powiat lwówecki";-1.8;
0213000;"Powiat milicki";-2.5;
0214000;"Powiat oleśnicki";3.0;
0215000;"Powiat oławski";3.2;
0216000;"Powiat polkowicki";0.7;
0217000;"Powiat strzeliński";0.8;
0218000;"Powiat średzki";11.4;
0219000;"Powiat świdnicki";0.0;
0220000;"Powiat trzebnicki";7.0;
0221000;"Powiat wałbrzyski";0.2;
0222000;"Powiat wołowski";-0.4;
0223000;"Powiat wrocławski";21.4;
0224000;"Powiat ząbkowicki";-1.6;
0225000;"Powiat zgorzelecki";-2.0;
0226000;"Powiat złotoryjski";-3.4;
0401000;"Powiat aleksandrowski";0.4;
0402000;"Powiat brodnicki";-1.0;
0403000;"Powiat bydgoski";13.0;
0404000;"Powiat chełmiński";-2.6;
0405000;"Powiat golubsko-dobrzyński";-3.4;
0406000;"Powiat grudziądzki";1.1;
0407000;"Powiat inowrocławski";-2.9;
0408000;"Powiat lipnowski";-3.1;
0409000;"Powiat mogileński";-3.0;
0410000;"Powiat nakielski";-1.0;
0411000;"Powiat radziejowski";-5.2;
0412000;"Powiat rypiński";-1.6;
0413000;"Powiat sępoleński";-4.0;
0414000;"Powiat świecki";-1.9;
0415000;"Powiat toruński";8.5;
0416000;"Powiat tucholski";-0.9;
0417000;"Powiat wąbrzeski";-3.6;
0418000;"Powiat włocławski";-0.1;
0419000;"Powiat żniński";-1.0;
0601000;"Powiat bialski";-1.2;
0602000;"Powiat biłgorajski";-4.5;
0603000;"Powiat chełmski";-2.1;
0604000;"Powiat hrubieszowski";-6.7;
0605000;"Powiat janowski";-4.5;
0606000;"Powiat krasnostawski";-3.5;
0607000;"Powiat kraśnicki";-4.4;
0608000;"Powiat lubartowski";-2.0;
0609000;"Powiat lubelski";9.2;
0610000;"Powiat łęczyński";-1.3;
0611000;"Powiat łukowski";-5.4;
0612000;"Powiat opolski";-3.6;
0613000;"Powiat parczewski";-5.5;
0614000;"Powiat puławski";-2.0;
0615000;"Powiat radzyński";-6.1;
0616000;"Powiat rycki";-5.3;
0617000;"Powiat świdnicki";0.8;
0618000;"Powiat tomaszowski";-5.8;
0619000;"Powiat włodawski";-4.3;
0620000;"Powiat zamojski";-1.6;
0801000;"Powiat gorzowski";8.4;
0802000;"Powiat krośnieński";-1.9;
0803000;"Powiat międzyrzecki";-2.4;
0804000;"Powiat nowosolski";0.1;
0805000;"Powiat słubicki";0.0;
0806000;"Powiat strzelecko-drezdenecki";-3.7;
0807000;"Powiat sulęciński";-1.9;
0808000;"Powiat świebodziński";-1.5;
0809000;"Powiat zielonogórski";3.3;
0810000;"Powiat żagański";-3.8;
0811000;"Powiat żarski";-2.3;
0812000;"Powiat wschowski";-2.1;
1001000;"Powiat bełchatowski";-1.1;
1002000;"Powiat kutnowski";-1.5;
1003000;"Powiat łaski";0.3;
1004000;"Powiat łęczycki";-1.6;
1005000;"Powiat łowicki";-2.7;
1006000;"Powiat łódzki wschodni";9.0;
1007000;"Powiat opoczyński";-3.6;
1008000;"Powiat pabianicki";4.7;
1009000;"Powiat pajęczański";-3.2;
1010000;"Powiat piotrkowski";0.6;
1011000;"Powiat poddębicki";0.3;
1012000;"Powiat radomszczański";-2.9;
1013000;"Powiat rawski";-3.8;
1014000;"Powiat sieradzki";-2.8;
1015000;"Powiat skierniewicki";3.1;
1016000;"Powiat tomaszowski";-1.4;
1017000;"Powiat wieluński";-1.8;
