"Code";"Name";"registrations of departure, total;total;2021;[person]";"registrations of departure, total;total;2022;[person]";"registrations of departure, total;total;2023;[person]";
0201000;"Powiat bolesławiecki";1339;1248;1117;
0202000;"Powiat dzierżoniowski";1065;1021;1004;
0203000;"Powiat głogowski";1298;1392;1365;
0204000;"Powiat górowski";595;497;450;
0205000;"Powiat jaworski";693;648;591;
0206000;"Powiat karkonoski";800;812;793;
0207000;"Powiat kamiennogórski";515;470;465;
0208000;"Powiat kłodzki";1765;1721;1795;
0209000;"Powiat legnicki";837;750;644;
0210000;"Powiat lubański";805;675;627;
0211000;"Powiat lubiński";1641;1420;1544;
0212000;"Powiat lwówecki";628;566;518;
0213000;"Powiat milicki";396;411;431;
0214000;"Powiat oleśnicki";1450;1358;1308;
0215000;"Powiat oławski";957;915;851;
0216000;"Powiat polkowicki";961;916;808;
0217000;"Powiat strzeliński";571;547;455;
0218000;"Powiat średzki";581;608;627;
0219000;"Powiat świdnicki";2020;1799;1650;
0220000;"Powiat trzebnicki";925;876;907;
0221000;"Powiat wałbrzyski";736;699;639;
0222000;"Powiat wołowski";542;586;575;
0223000;"Powiat wrocławski";1961;1872;2061;
0224000;"Powiat ząbkowicki";883;729;730;
0225000;"Powiat zgorzelecki";1254;1190;1176;
0226000;"Powiat złotoryjski";581;466;495;
0401000;"Powiat aleksandrowski";764;727;651;
0402000;"Powiat brodnicki";1166;1041;930;
0403000;"Powiat bydgoski";1200;1341;1279;
0404000;"Powiat chełmiński";643;549;578;
0405000;"Powiat golubsko-dobrzyński";660;552;565;
0406000;"Powiat grudziądzki";522;672;609;
0407000;"Powiat inowrocławski";1979;1857;1740;
0408000;"Powiat lipnowski";792;767;754;
0409000;"Powiat mogileński";562;649;592;
0410000;"Powiat nakielski";1249;1005;1004;
0411000;"Powiat radziejowski";553;531;526;
0412000;"Powiat rypiński";586;607;451;
0413000;"Powiat sępoleński";565;569;521;
0414000;"Powiat świecki";1217;1200;1148;
0415000;"Powiat toruński";1270;1316;1218;
0416000;"Powiat tucholski";529;538;467;
0417000;"Powiat wąbrzeski";481;399;408;
0418000;"Powiat włocławski";1074;1017;1046;
0419000;"Powiat żniński";850;844;786;
0601000;"Powiat bialski";1323;1375;1175;
0602000;"Powiat biłgorajski";1149;1161;1131;
0603000;"Powiat chełmski";1004;1109;935;
0604000;"Powiat hrubieszowski";886;914;828;
0605000;"Powiat janowski";520;562;466;
0606000;"Powiat krasnostawski";673;603;642;
0607000;"Powiat kraśnicki";1033;1044;999;
0608000;"Powiat lubartowski";1054;1007;990;
0609000;"Powiat lubelski";1831;1621;1624;
0610000;"Powiat łęczyński";900;758;744;
0611000;"Powiat łukowski";1346;1366;1277;
0612000;"Powiat opolski";707;682;605;
0613000;"Powiat parczewski";448;451;462;
0614000;"Powiat puławski";1374;1271;1235;
0615000;"Powiat radzyński";720;654;711;
0616000;"Powiat rycki";742;668;650;
0617000;"Powiat świdnicki";1053;1043;887;
0618000;"Powiat tomaszowski";1157;1159;1115;
0619000;"Powiat włodawski";537;531;502;
0620000;"Powiat zamojski";1229;1218;1161;
0801000;"Powiat gorzowski";860;850;799;
0802000;"Powiat krośnieński";777;733;702;
0803000;"Powiat międzyrzecki";718;740;752;
0804000;"Powiat nowosolski";1215;1071;1129;
0805000;"Powiat słubicki";706;546;615;
0806000;"Powiat strzelecko-drezdenecki";747;676;656;
0807000;"Powiat sulęciński";468;439;480;
0808000;"Powiat świebodziński";687;687;726;
0809000;"Powiat zielonogórski";1149;971;980;
0810000;"Powiat żagański";1281;1137;1053;
0811000;"Powiat żarski";1243;1223;1104;
0812000;"Powiat wschowski";490;487;458;
1001000;"Powiat bełchatowski";1682;1794;1410;
1002000;"Powiat kutnowski";1094;1058;1052;
1003000;"Powiat łaski";588;533;519;
1004000;"Powiat łęczycki";541;532;470;
1005000;"Powiat łowicki";878;746;706;
1006000;"Powiat łódzki wschodni";672;680;669;
1007000;"Powiat opoczyński";904;933;815;
1008000;"Powiat pabianicki";1241;1156;1193;
1009000;"Powiat pajęczański";613;596;501;
1010000;"Powiat piotrkowski";892;774;806;
1011000;"Powiat poddębicki";407;435;390;
1012000;"Powiat radomszczański";1164;1207;1128;
1013000;"Powiat rawski";529;504;553;
1014000;"Powiat sieradzki";1435;1382;1259;
1015000;"Powiat skierniewicki";406;360;314;
1016000;"Powiat tomaszowski";1101;1072;1079;
1017000;"Powiat wieluński";948;868;910;
1018000;"Powiat wieruszowski";491;457;453;
1019000;"Powiat zduńskowolski";659;705;623;
1020000;"Powiat zgierski";1782;1659;1622;
1021000;"Powiat brzeziński";299;278;289;
1201000;"Powiat bocheński";969;967;1045;
1202000;"Powiat brzeski";908;880;823;
1203000;"Powiat chrzanowski";1227;1207;1233;
1204000;"Powiat dąbrowski";585;532;502;
1205000;"Powiat gorlicki";1097;1189;1062;
1206000;"Powiat krakowski";2544;2482;2620;
1207000;"Powiat limanowski";1261;1326;1161;
1208000;"Powiat miechowski";505;434;406;
1209000;"Powiat myślenicki";1171;1265;1077;
1210000;"Powiat nowosądecki";2226;2286;2160;
1211000;"Powiat nowotarski";1627;1695;1513;
1212000;"Powiat olkuski";1254;1153;1149;
1213000;"Powiat oświęcimski";1683;1675;1520;
1214000;"Powiat proszowicki";416;412;337;
1215000;"Powiat suski";763;811;690;
1216000;"Powiat tarnowski";2102;1982;1951;
1217000;"Powiat tatrzański";672;573;610;
1218000;"Powiat wadowicki";1591;1526;1497;
1219000;"Powiat wielicki";1227;1216;1204;
1401000;"Powiat białobrzeski";389;343;331;
1402000;"Powiat ciechanowski";1089;983;1062;
1403000;"Powiat garwoliński";1216;1230;1033;
1404000;"Powiat gostyniński";491;448;513;
1405000;"Powiat grodziski";1304;1262;1552;
1406000;"Powiat grójecki";1055;977;1027;
1407000;"Powiat kozienicki";628;731;636;
1408000;"Powiat legionowski";1678;1564;1561;
1409000;"Powiat lipski";439;410;346;
1410000;"Powiat łosicki";420;343;358;
1411000;"Powiat makowski";502;579;508;
1412000;"Powiat miński";1825;1629;1555;
1413000;"Powiat mławski";944;819;894;
1414000;"Powiat nowodworski";944;839;896;
1415000;"Powiat ostrołęcki";969;974;869;
1416000;"Powiat ostrowski";744;733;727;
1417000;"Powiat otwocki";1332;1261;1331;
1418000;"Powiat piaseczyński";2609;2455;2686;
1419000;"Powiat płocki";1249;1230;1266;
1420000;"Powiat płoński";972;930;941;
1421000;"Powiat pruszkowski";2440;2313;2281;
1422000;"Powiat przasnyski";638;662;622;
1423000;"Powiat przysuski";447;449;411;
1424000;"Powiat pułtuski";557;546;510;
1425000;"Powiat radomski";1672;1624;1454;
1426000;"Powiat siedlecki";919;964;856;
1427000;"Powiat sierpecki";697;590;668;
1428000;"Powiat sochaczewski";964;960;955;
1429000;"Powiat sokołowski";676;630;597;
1430000;"Powiat szydłowiecki";462;473;512;
1432000;"Powiat warszawski zachodni";1430;1550;1420;
1433000;"Powiat węgrowski";708;656;691;
1434000;"Powiat wołomiński";3147;3003;3179;
1435000;"Powiat wyszkowski";732;838;678;
1436000;"Powiat zwoleński";388;379;352;
1437000;"Powiat żuromiński";564;518;512;
1438000;"Powiat żyrardowski";725;812;944;
1601000;"Powiat brzeski";1275;1125;1067;
1602000;"Powiat głubczycki";588;575;490;
1603000;"Powiat kędzierzyńsko-kozielski";1110;933;1033;
1604000;"Powiat kluczborski";864;828;840;
