"Code";"Name";"total;place of residence;as of 30 June;total;2024;[person]";"in urban areas;place of residence;as of 30 June;total;2024;[person]";"in rural areas;place of residence;as of 30 June;total;2024;[person]";
0201000;"Powiat bolesławiecki";87473;40941;46532;
0202000;"Powiat dzierżoniowski";94304;73607;20697;
0203000;"Powiat głogowski";84755;61675;23080;
0204000;"Powiat górowski";32250;13197;19053;
0205000;"Powiat jaworski";47039;25021;22018;
0206000;"Powiat karkonoski";60232;25232;35000;
0207000;"Powiat kamiennogórski";40040;22442;17598;
0208000;"Powiat kłodzki";146041;92022;54019;
0209000;"Powiat legnicki";55068;15779;39289;
0210000;"Powiat lubański";51171;31588;19583;
0211000;"Powiat lubiński";102578;72400;30178;
0212000;"Powiat lwówecki";42622;21085;21537;
0213000;"Powiat milicki";35454;10669;24785;
0214000;"Powiat oleśnicki";106563;57783;48780;
0215000;"Powiat oławski";77429;48049;29380;
0216000;"Powiat polkowicki";61055;34092;26963;
0217000;"Powiat strzeliński";41582;14152;27430;
0218000;"Powiat średzki";59482;11630;47852;
0219000;"Powiat świdnicki";149857;100453;49404;
0220000;"Powiat trzebnicki";87738;30828;56910;
0221000;"Powiat wałbrzyski";52524;33577;18947;
0222000;"Powiat wołowski";45281;24423;20858;
0223000;"Powiat wrocławski";189571;25397;164174;
0224000;"Powiat ząbkowicki";60264;31135;29129;
0225000;"Powiat zgorzelecki";84723;56391;28332;
0226000;"Powiat złotoryjski";40435;19473;20962;
0261000;"City with powiat status Jelenia Góra";74636;74636;0;
0262000;"City with powiat status Legnica";91335;91335;0;
0264000;"City with powiat status Wrocław";673531;673531;0;
0265000;"City with powiat status Wałbrzych since 2013";99463;99463;0;
0401000;"Powiat aleksandrowski";53325;23336;29989;
0402000;"Powiat brodnicki";77593;33127;44466;
0403000;"Powiat bydgoski";127585;25861;101724;
0404000;"Powiat chełmiński";48924;17952;30972;
0405000;"Powiat golubsko-dobrzyński";43185;15253;27932;
0406000;"Powiat grudziądzki";39110;4815;34295;
0407000;"Powiat inowrocławski";149836;95893;53943;
0408000;"Powiat lipnowski";62337;21834;40503;
0409000;"Powiat mogileński";43407;16093;27314;
0410000;"Powiat nakielski";82605;34566;48039;
0411000;"Powiat radziejowski";37571;9173;28398;
0412000;"Powiat rypiński";40989;15298;25691;
0413000;"Powiat sępoleński";38702;16592;22110;
0414000;"Powiat świecki";94557;32945;61612;
0415000;"Powiat toruński";114633;13620;101013;
0416000;"Powiat tucholski";46848;12915;33933;
0417000;"Powiat wąbrzeski";32298;12820;19478;
0418000;"Powiat włocławski";81876;15875;66001;
0419000;"Powiat żniński";67346;29174;38172;
0461000;"City with powiat status Bydgoszcz";324984;324984;0;
0462000;"City with powiat status Grudziądz";88214;88214;0;
0463000;"City with powiat status Toruń";194273;194273;0;
0464000;"City with powiat status Włocławek";100125;100125;0;
0601000;"Powiat bialski";104522;22495;82027;
0602000;"Powiat biłgorajski";95661;33057;62604;
0603000;"Powiat chełmski";73457;7278;66179;
0604000;"Powiat hrubieszowski";56297;15811;40486;
0605000;"Powiat janowski";42537;12200;30337;
0606000;"Powiat krasnostawski";58609;18883;39726;
0607000;"Powiat kraśnicki";88693;35066;53627;
0608000;"Powiat lubartowski";83652;26154;57498;
0609000;"Powiat lubelski";164947;10308;154639;
0610000;"Powiat łęczyński";55653;17500;38153;
0611000;"Powiat łukowski";100580;29345;71235;
0612000;"Powiat opolski";55337;16745;38592;
0613000;"Powiat parczewski";32020;10118;21902;
0614000;"Powiat puławski";106511;50477;56034;
0615000;"Powiat radzyński";54764;15503;39261;
0616000;"Powiat rycki";51233;22930;28303;
0617000;"Powiat świdnicki";69137;39013;30124;
0618000;"Powiat tomaszowski";76509;23571;52938;
0619000;"Powiat włodawski";35186;12030;23156;
0620000;"Powiat zamojski";100368;10399;89969;
0661000;"City with powiat status Biała Podlaska";54178;54178;0;
0662000;"City with powiat status Chełm";56832;56832;0;
0663000;"City with powiat status Lublin";328868;328868;0;
0664000;"City with powiat status Zamość";57924;57924;0;
0801000;"Powiat gorzowski";74146;23953;50193;
0802000;"Powiat krośnieński";52461;25930;26531;
0803000;"Powiat międzyrzecki";54584;27943;26641;
0804000;"Powiat nowosolski";81989;52832;29157;
0805000;"Powiat słubicki";45740;29048;16692;
0806000;"Powiat strzelecko-drezdenecki";46446;22053;24393;
0807000;"Powiat sulęciński";33358;14051;19307;
0808000;"Powiat świebodziński";53851;25605;28246;
0809000;"Powiat zielonogórski";74980;31510;43470;
0810000;"Powiat żagański";73213;43409;29804;
0811000;"Powiat żarski";90782;54435;36347;
0812000;"Powiat wschowski";37136;18250;18886;
0861000;"City with powiat status Gorzów Wielkopolski";114567;114567;0;
0862000;"City with powiat status Zielona Góra";138887;138887;0;
1001000;"Powiat bełchatowski";108311;58926;49385;
1002000;"Powiat kutnowski";90128;52829;37299;
1003000;"Powiat łaski";48622;15958;32664;
1004000;"Powiat łęczycki";46452;15540;30912;
1005000;"Powiat łowicki";73717;26600;47117;
1006000;"Powiat łódzki wschodni";75008;22587;52421;
1007000;"Powiat opoczyński";71452;24436;47016;
1008000;"Powiat pabianicki";119037;81160;37877;
1009000;"Powiat pajęczański";48345;11549;36796;
1010000;"Powiat piotrkowski";89945;9789;80156;
1011000;"Powiat poddębicki";39267;9708;29559;
1012000;"Powiat radomszczański";106173;48474;57699;
1013000;"Powiat rawski";45925;18856;27069;
1014000;"Powiat sieradzki";111022;46771;64251;
1015000;"Powiat skierniewicki";37733;895;36838;
1016000;"Powiat tomaszowski";110086;59277;50809;
1017000;"Powiat wieluński";72246;21608;50638;
1018000;"Powiat wieruszowski";41417;11333;30084;
1019000;"Powiat zduńskowolski";63059;39871;23188;
1020000;"Powiat zgierski";166190;110552;55638;
1021000;"Powiat brzeziński";30102;13156;16946;
1061000;"City with powiat status Łódź";648711;648711;0;
1062000;"City with powiat status Piotrków Trybunalski";66211;66211;0;
1063000;"City with powiat status Skierniewice";44976;44976;0;
1201000;"Powiat bocheński";106911;31093;75818;
1202000;"Powiat brzeski";91497;18112;73385;
1203000;"Powiat chrzanowski";118194;71186;47008;
1204000;"Powiat dąbrowski";57390;15482;41908;
1205000;"Powiat gorlicki";104927;32710;72217;
1206000;"Powiat krakowski";303577;44102;259475;
1207000;"Powiat limanowski";131765;22254;109511;
1208000;"Powiat miechowski";46523;11749;34774;
1209000;"Powiat myślenicki";130028;30342;99686;
1210000;"Powiat nowosądecki";215039;33872;181167;
1211000;"Powiat nowotarski";190116;54124;135992;
1212000;"Powiat olkuski";105385;49408;55977;
1213000;"Powiat oświęcimski";148042;75575;72467;
1214000;"Powiat proszowicki";41940;8088;33852;
1215000;"Powiat suski";82738;19700;63038;
1216000;"Powiat tarnowski";197235;22783;174452;
1217000;"Powiat tatrzański";66375;25100;41275;
1218000;"Powiat wadowicki";157237;39544;117693;
1219000;"Powiat wielicki";144555;45075;99480;
1261000;"City with powiat status Kraków";807644;807644;0;
1262000;"City with powiat status Nowy Sącz";79985;79985;0;
1263000;"City with powiat status Tarnów";102582;102582;0;
1401000;"Powiat białobrzeski";32432;7269;25163;
1402000;"Powiat ciechanowski";84917;44397;40520;
1403000;"Powiat garwoliński";105349;31298;74051;
1404000;"Powiat gostyniński";41969;18552;23417;
1405000;"Powiat grodziski";106373;55092;51281;
1406000;"Powiat grójecki";96857;34243;62614;
1407000;"Powiat kozienicki";56959;17184;39775;
1408000;"Powiat legionowski";132639;57820;74819;
1409000;"Powiat lipski";31399;7499;23900;
1410000;"Powiat łosicki";28474;6771;21703;
1411000;"Powiat makowski";41479;11475;30004;
1412000;"Powiat miński";159589;79192;80397;
1413000;"Powiat mławski";68872;30735;38137;
1414000;"Powiat nowodworski";79484;38955;40529;
1415000;"Powiat ostrołęcki";87450;3179;84271;
1416000;"Powiat ostrowski";68101;23170;44931;
1417000;"Powiat otwocki";126754;75332;51422;
1418000;"Powiat piaseczyński";216775;85148;131627;
1419000;"Powiat płocki";109376;10257;99119;
1420000;"Powiat płoński";83722;29804;53918;
1421000;"Powiat pruszkowski";180579;103103;77476;
1422000;"Powiat przasnyski";48821;19175;29646;
1423000;"Powiat przysuski";38450;7015;31435;
1424000;"Powiat pułtuski";50250;19010;31240;
1425000;"Powiat radomski";151279;29471;121808;
1426000;"Powiat siedlecki";80461;1592;78869;
1427000;"Powiat sierpecki";48035;16827;31208;
1428000;"Powiat sochaczewski";83057;33310;49747;
1429000;"Powiat sokołowski";49800;20249;29551;
1430000;"Powiat szydłowiecki";37358;11647;25711;
1432000;"Powiat warszawski zachodni";136132;46281;89851;
1433000;"Powiat węgrowski";61713;18308;43405;
1434000;"Powiat wołomiński";277102;197592;79510;
1435000;"Powiat wyszkowski";73341;25891;47450;
1436000;"Powiat zwoleński";34179;7099;27080;
1437000;"Powiat żuromiński";35278;11596;23682;
1438000;"Powiat żyrardowski";75006;45988;29018;
1461000;"City with powiat status Ostrołęka";47922;47922;0;
1462000;"City with powiat status Płock";110495;110495;0;
1463000;"City with powiat status Radom";194916;194916;0;
1464000;"City with powiat status Siedlce";75072;75072;0;
1465000;"City with powiat status Capital City Warszawa";1862402;1862402;0;
1601000;"Powiat brzeski";85876;46646;39230;
1602000;"Powiat głubczycki";42392;19727;22665;
1603000;"Powiat kędzierzyńsko-kozielski";85725;54029;31696;
1604000;"Powiat kluczborski";60911;30528;30383;
1605000;"Powiat krapkowicki";59414;33200;26214;
1606000;"Powiat namysłowski";41931;16776;25155;
1607000;"Powiat nyski";127390;67350;60040;
1608000;"Powiat oleski";61023;21877;39146;
1609000;"Powiat opolski";120788;19869;100919;
1610000;"Powiat prudnicki";51171;26475;24696;
