"Code";"Name";"total;total;2018;[person]";"total;total;2019;[person]";"total;total;2020;[person]";"total;total;2021;[person]";"total;total;2022;[person]";"total;total;2023;[person]";
0201000;"Powiat bolesławiecki";15;26;35;23;27;30;
0202000;"Powiat dzierżoniowski";42;39;36;35;37;25;
0203000;"Powiat głogowski";14;10;8;7;10;11;
0204000;"Powiat górowski";6;6;10;9;7;2;
0205000;"Powiat jaworski";15;5;10;21;25;20;
0206000;"Powiat karkonoski";83;121;112;110;93;110;
0207000;"Powiat kamiennogórski";7;15;7;10;10;17;
0208000;"Powiat kłodzki";39;36;28;38;38;33;
0209000;"Powiat legnicki";36;49;54;76;69;66;
0210000;"Powiat lubański";18;13;17;10;29;31;
0211000;"Powiat lubiński";23;25;16;16;13;13;
0212000;"Powiat lwówecki";11;11;14;7;13;8;
0213000;"Powiat milicki";8;9;9;9;11;11;
0214000;"Powiat oleśnicki";24;54;52;55;52;55;
0215000;"Powiat oławski";17;15;8;19;14;20;
0216000;"Powiat polkowicki";23;33;21;23;19;25;
0217000;"Powiat strzeliński";13;22;12;7;16;27;
0218000;"Powiat średzki";23;20;23;29;34;27;
0219000;"Powiat świdnicki";43;47;47;42;40;50;
0220000;"Powiat trzebnicki";12;9;6;10;8;12;
0221000;"Powiat wałbrzyski";44;51;54;34;40;37;
0222000;"Powiat wołowski";18;14;27;30;34;26;
0223000;"Powiat wrocławski";255;395;310;342;303;343;
0224000;"Powiat ząbkowicki";24;32;28;32;24;23;
0225000;"Powiat zgorzelecki";27;23;22;17;17;22;
0226000;"Powiat złotoryjski";19;16;18;23;18;14;
0261000;"City with powiat status Jelenia Góra";83;121;112;110;93;110;
0262000;"City with powiat status Legnica";36;49;54;76;69;66;
0264000;"City with powiat status Wrocław";255;395;310;342;303;343;
0265000;"City with powiat status Wałbrzych since 2013";44;51;54;34;40;37;
0401000;"Powiat aleksandrowski";18;15;5;12;18;11;
0402000;"Powiat brodnicki";15;22;29;33;17;22;
0403000;"Powiat bydgoski";78;99;105;84;84;82;
0404000;"Powiat chełmiński";11;5;2;6;4;8;
