"Code";"Name";"grand total;2023;[PLN]";
0000000;"POLAND";7595.30;
0200000;"DOLNOŚLĄSKIE";7850.30;
0201000;"Powiat bolesławiecki";6871.28;
0202000;"Powiat dzierżoniowski";6459.49;
0203000;"Powiat głogowski";6660.00;
0204000;"Powiat górowski";6060.11;
0205000;"Powiat jaworski";7059.41;
0206000;"Powiat karkonoski";6287.20;
0207000;"Powiat kamiennogórski";6213.96;
0208000;"Powiat kłodzki";6527.23;
0209000;"Powiat legnicki";6977.28;
0210000;"Powiat lubański";6215.31;
0211000;"Powiat lubiński";12804.03;
0212000;"Powiat lwówecki";6194.99;
0213000;"Powiat milicki";6083.81;
0214000;"Powiat oleśnicki";6496.00;
0215000;"Powiat oławski";6871.32;
0216000;"Powiat polkowicki";7764.33;
0217000;"Powiat strzeliński";7147.32;
0218000;"Powiat średzki";7322.95;
0219000;"Powiat świdnicki";6764.59;
0220000;"Powiat trzebnicki";6743.32;
0221000;"Powiat wałbrzyski";6099.58;
0222000;"Powiat wołowski";7922.52;
0223000;"Powiat wrocławski";8214.48;
0224000;"Powiat ząbkowicki";6223.41;
0225000;"Powiat zgorzelecki";6812.01;
0226000;"Powiat złotoryjski";7310.37;
0261000;"City with powiat status Jelenia Góra";7101.35;
0262000;"City with powiat status Legnica";6901.05;
0264000;"City with powiat status Wrocław";8334.84;
0265000;"City with powiat status Wałbrzych since 2013";7584.09;
0400000;"KUJAWSKO-POMORSKIE";6721.48;
0401000;"Powiat aleksandrowski";6019.18;
0402000;"Powiat brodnicki";5919.35;
0403000;"Powiat bydgoski";6461.57;
0404000;"Powiat chełmiński";5970.02;
0405000;"Powiat golubsko-dobrzyński";6678.54;
0406000;"Powiat grudziądzki";6220.48;
0407000;"Powiat inowrocławski";6449.06;
0408000;"Powiat lipnowski";5658.46;
0409000;"Powiat mogileński";6386.99;
0410000;"Powiat nakielski";6603.55;
0411000;"Powiat radziejowski";6076.36;
0412000;"Powiat rypiński";5844.89;
0413000;"Powiat sępoleński";5892.07;
0414000;"Powiat świecki";6561.15;
0415000;"Powiat toruński";6185.35;
0416000;"Powiat tucholski";5840.11;
0417000;"Powiat wąbrzeski";6249.49;
0418000;"Powiat włocławski";5925.34;
0419000;"Powiat żniński";5985.65;
0461000;"City with powiat status Bydgoszcz";7478.19;
0462000;"City with powiat status Grudziądz";6034.07;
0463000;"City with powiat status Toruń";7308.74;
0464000;"City with powiat status Włocławek";6687.25;
0600000;"LUBELSKIE";6774.52;
0601000;"Powiat bialski";5953.72;
0602000;"Powiat biłgorajski";5694.27;
0603000;"Powiat chełmski";5793.46;
0604000;"Powiat hrubieszowski";6247.83;
0605000;"Powiat janowski";6336.93;
